Station ,Served By Subway Lines,Y2011Ridership,Y2012Ridership,Y2013Ridership,Y2014Ridership,Y2015Ridership,Y2016Ridership,2015-2016 Change,Percentage,2016 Rank,Borough
Eastern Pkwy-Brooklyn Museum ,"IRT Eastern Parkway Line (2,3,4)","1,568,924","1,578,613","1,674,856","1,665,524","1,676,659","1,585,048","-91,611",-5.50%,297,Brooklyn
Euclid Av ,"IND Fulton Street Line (A,C) ","3,100,867","3,115,445","3,323,235","3,315,007","3,509,500","3,458,027","-51,473",-1.50%,148,Brooklyn
Flatbush Av-Brooklyn College ,"IRT Nostrand Ave Line (2,5)","6,547,958","6,384,496","6,562,226","6,447,908","6,487,608","6,321,530","-166,078",-2.60%,69,Brooklyn
Flushing Av ,IND Crosstown Line (G),"616,083","655,317","728,668","808,421","866,803","877,269","10,466",1.20%,374,Brooklyn
Flushing Av ,"BMT Jamaica Line(J,M)","2,683,278","2,776,360","2,869,903","2,847,691","2,991,074","2,894,033","-97,041",-3.20%,180,Brooklyn
Fort Hamilton Pkwy ,BMT West End Line (D) ,"1,103,024","1,025,285","1,240,644","1,317,172","1,297,755","1,349,733","51,978",4.00%,319,Brooklyn
Fort Hamilton Pkwy ,"IND Culver Line (F,G)","1,292,131","1,538,039","1,688,093","1,729,381","1,792,239","1,845,401","53,162",3.00%,265,Brooklyn
Fort Hamilton Pkwy ,"BMT Sea Beach Line (N,W)","2,086,389","2,105,486","2,200,487","2,278,120","2,164,028","554,051","-1,609,977",-74.40%,404,Brooklyn
Franklin Av,"IRT Eastern Parkway Line (2,3,4,5) & BMT Franklin Ave Shuttle (S)","4,712,492","4,934,593","5,125,782","5,377,967","5,100,038","5,010,984","-89,054",-1.70%,95,Brooklyn
Franklin Av ,"IND Fulton Street Line (A,C) & BMT Franklin Ave Shuttle (S)","1,904,736","1,982,691","2,049,246","2,125,076","2,137,752","2,056,281","-81,471",-3.80%,243,Brooklyn
Fulton St ,IND Crosstown Line (G),"1,179,034","1,280,063","1,394,890","1,485,669","1,643,353","1,639,930","-3,423",-0.20%,292,Brooklyn
Gates Av ,"BMT Jamaica Line(J,M,Z)","1,870,109","1,901,060","1,895,878","1,984,486","2,100,864","2,117,787","16,923",0.80%,234,Brooklyn
Graham Av ,BMT Canarsie Line (L),"3,054,897","3,086,342","3,179,579","3,402,514","3,293,413","3,324,292","30,879",0.90%,153,Brooklyn
Grand Army Plaza ,"IRT Eastern Parkway Line (2,3,4)","2,417,351","2,507,555","2,556,750","2,505,721","2,433,907","2,425,948","-7,959",-0.30%,205,Brooklyn
Grand St ,BMT Canarsie Line (L),"2,135,063","2,145,374","2,260,023","2,414,872","2,242,757","2,174,128","-68,629",-3.10%,225,Brooklyn
Grant Av ,IND Fulton Street Line (A),"1,953,637","1,952,581","1,958,503","2,041,848","2,084,651","2,170,567","85,916",4.10%,226,Brooklyn
Greenpoint Av ,IND Crosstown Line (G),"2,490,286","2,521,422","2,543,568","2,428,027","2,902,723","2,951,454","48,731",1.70%,175,Brooklyn
Halsey St ,"BMT Jamaica Line(J,M,Z)","1,805,490","1,800,505","1,845,755","1,968,526","2,083,683","2,101,350","17,667",0.80%,237,Brooklyn
Halsey St ,BMT Canarsie Line (L),"2,037,729","2,136,529","2,317,512","2,492,974","2,465,693","2,629,576","163,883",6.60%,191,Brooklyn
Hewes St ,"BMT Jamaica Line(J,M,Z)","848,377","895,661","927,212","903,641","981,379","913,179","-68,200",-6.90%,371,Brooklyn
High St ,"IND Fulton Street Line (A,C)","2,093,306","2,209,212","2,441,136","2,687,244","2,656,705","2,536,059","-120,646",-4.50%,197,Brooklyn
Hoyt St ,"IRT Eastern Parkway Line (2,3)","1,922,916","1,978,582","2,033,085","2,181,465","2,249,892","2,356,001","106,109",4.70%,211,Brooklyn
Hoyt-Schermerhorn Sts ,"IND Fulton Street Line (A,C) & IND Crosstown Line (G)","2,968,639","2,990,881","2,971,379","2,961,316","3,038,302","3,082,398","44,096",1.50%,167,Brooklyn
Jay St-MetroTech ,"IND Fulton Street Line (A,C) & IND Culver Line (F) & BMT 4th Ave Line (M,N,R,W)","11,149,629","11,492,780","11,793,956","12,197,352","12,765,132","13,091,255","326,123",2.60%,23,Brooklyn
Jefferson St ,BMT Canarsie Line (L),"1,815,391","1,906,878","2,136,772","2,425,983","2,514,292","2,563,505","49,213",2.00%,196,Brooklyn
Junius St ,"IRT New Lots Ave Line (3,4)","678,990","660,013","690,625","727,369","928,235","681,935","-246,300",-26.50%,390,Brooklyn
Kings Hwy ,"BMT Brighton Line (B,Q) ","5,311,662","5,453,084","5,697,467","5,693,562","5,905,481","6,014,920","109,439",1.90%,73,Brooklyn
Kings Hwy ,BMT Culver Line (F),"1,115,062","1,117,098","1,134,042","1,137,784","1,202,640","1,398,753","196,113",16.30%,312,Brooklyn
